sequence_id,frame_index,waveform_seed,method,subset,visual_update,association_correct,selected_index,estimate_x_m,estimate_y_m,estimate_z_m,error_x_m,error_y_m,error_z_m,error_3d_m,absolute_z_error_m,position_nees,covered_95,cov_xx_m2,cov_yy_m2,cov_zz_m2
seq04,0,20260971,rf_only_full_3d,easy,1,1,0,1.8232231712893245,14.124645299272975,0.20767346459756908,-0.5594005587986968,0.5853520052808161,-0.11226114434679602,0.8174157570053436,0.11226114434679602,2.3828589924992345,1,0.7501075506280201,0.8564088419486827,1.0034847815186994
seq04,0,20260971,rf_vision_shared_pose,easy,1,1,0,2.3477202526076604,13.599600607728997,0.1643567947113781,-0.034903477480360934,0.06030731373683729,-0.155577814232987,0.17046900337565535,0.155577814232987,0.18165597256769145,1,0.6419420891314696,0.686564001441914,0.8655956542958696
seq04,0,20260971,rf_vision_no_pose_uncertainty,easy,1,1,0,2.347720404039164,13.599600751083717,0.16435655295761648,-0.03490332604885715,0.06030745709155738,-0.15557805598674862,0.17046924372079192,0.15557805598674862,0.5578206010649699,1,0.5875860246640465,0.6327933918960675,0.813660580680199
seq04,0,20260971,range_azimuth_vision,easy,1,1,0,2.343615611826632,13.59824201951309,0.1606206993978482,-0.0390081182613895,0.05894872552093133,-0.1593139095465169,0.1742914435818133,0.1593139095465169,0.1929731691936506,1,0.6429545366075419,0.6866403484577435,0.8668414437094577
seq04,1,20260971,rf_only_full_3d,easy,1,1,1,2.5502188337003524,12.836855318256855,1.6608636168844129,0.20816165249952379,-0.646512852459999,1.340940693805255,1.5031407406727475,1.340940693805255,4.473424723137391,1,0.7976996865750222,0.8116546214374536,0.9746515795201871
seq04,1,20260971,rf_vision_shared_pose,easy,1,1,1,2.069204772371179,12.740991319110318,1.1564648947028318,-0.27285240882964956,-0.7423768516065365,0.8365419716236739,1.1512490161096336,0.8365419716236739,2.0573165772694266,1,0.651506484600924,0.6690436111701188,0.869153020763312
seq04,1,20260971,rf_vision_no_pose_uncertainty,easy,1,1,1,2.069204061863692,12.74099063138334,1.1564657792965747,-0.27285311933713663,-0.7423775393335141,0.8365428562174169,1.151250270761003,0.8365428562174169,4.561217108688492,1,0.597896944523801,0.6157185908605007,0.8177898359376181
seq04,1,20260971,range_azimuth_vision,easy,1,1,1,2.0235870703648797,12.72580748658986,1.1151569646338104,-0.3184701108359489,-0.7575606841269948,0.7952340415546526,1.1435552380528755,0.7952340415546526,1.7115513646614973,1,0.6504828617460024,0.668544751346525,0.8729485865475848
seq04,2,20260971,rf_only_full_3d,easy,1,1,1,1.9281067383166501,13.54003722376629,1.4152658472977286,-0.3730208553379728,0.11343008622918305,1.0953364848541358,1.1626577131863218,1.0953364848541358,2.5730107928707837,1,0.7711510020372725,0.8515001731489633,0.9736204924811778
seq04,2,20260971,rf_vision_shared_pose,easy,1,1,1,2.011673643663236,12.852947269794804,0.8534273599024026,-0.28945394999138685,-0.5736598677423039,0.5334979974588098,0.8351582762065488,0.5334979974588098,0.728176870496137,1,0.6485323866797471,0.6771334774903913,0.8665330937899788
seq04,2,20260971,rf_vision_no_pose_uncertainty,easy,1,1,1,2.0116726023014087,12.852946245235362,0.8534286638130107,-0.2894549913532143,-0.5736608923017457,0.5334993013694179,0.8351601738213942,0.5334993013694179,1.573423270145747,1,0.5945310308548761,0.6235402598766271,0.8148444380424
seq04,2,20260971,range_azimuth_vision,easy,1,1,1,1.9597409622037767,12.835456528508136,0.8060228072510853,-0.34138663145084625,-0.591150609028972,0.4860934448074925,0.8380278705231081,0.4860934448074925,0.6837689645802553,1,0.6472853977581022,0.6765473235002984,0.8707388748753672
seq04,3,20260971,rf_only_full_3d,easy,1,1,1,2.53498467110348,14.451665921051367,-0.8628368362355197,0.27515584954573935,1.082686064777322,-1.1827561221182306,1.6269086946753943,1.1827561221182306,2.4202788814255047,1,0.7874321763854139,0.8300422458578074,1.0329081732705105
seq04,3,20260971,rf_vision_shared_pose,easy,1,1,1,2.770977240522318,14.430658145480855,-0.6828694017494731,0.5111484189645772,1.0616782892068102,-1.0027886876321839,1.5472616611375607,1.0027886876321839,2.6061331620015498,1,0.6562361420810033,0.6703458117539676,0.8746046253508544
seq04,3,20260971,rf_vision_no_pose_uncertainty,easy,1,1,1,2.7709762579364856,14.430657114976835,-0.6828681666089773,0.5111474363787449,1.0616772587027903,-1.0027874524916882,1.547259828935659,1.0027874524916882,5.470288736985097,1,0.6009292913127453,0.6153394904889579,0.8218513752748753
seq04,3,20260971,range_azimuth_vision,easy,1,1,1,2.7872873901398494,14.436165779145641,-0.667815374249734,0.5274585685821087,1.0671859228715963,-0.9877346601324449,1.5468413281177047,0.9877346601324449,2.541723494403863,1,0.6582372302126612,0.670708172899087,0.8747115919952935
seq04,4,20260971,rf_only_full_3d,easy,1,1,0,2.281369182062278,13.06098678782532,-0.17243319356814624,0.06319287159241505,-0.24954532218340297,-0.4923511077893419,0.5555860151093672,0.4923511077893419,0.8398201693753057,1,0.7789418847466273,0.8156517087817765,1.03507370644439
seq04,4,20260971,rf_vision_shared_pose,easy,1,1,0,2.312997530145739,13.242960627356911,0.013512895804703842,0.0948212196758762,-0.06757148265181101,-0.3064050184164918,0.32778194623773205,0.3064050184164918,0.8357120770486829,1,0.6427673605669239,0.6719391687746116,0.8826282770266538
seq04,4,20260971,rf_vision_no_pose_uncertainty,easy,1,1,0,2.312997134964659,13.242960220825637,0.013513397763849957,0.09482082449479634,-0.06757188918308543,-0.3064045164573457,0.3277814465022448,0.3064045164573457,3.7285358942256845,1,0.5879119778983555,0.6175280971293882,0.8304564016100053
seq04,4,20260971,range_azimuth_vision,easy,1,1,0,2.33058593123541,13.248643728710688,0.029267421037792778,0.11240962076554695,-0.061888381298034645,-0.29065049318340286,0.31771654626112933,0.29065049318340286,0.7329252760236651,1,0.6448192143018537,0.6722962909539281,0.8825869690436394
